onset	duration	eye	startTime	stopTime
336.256	0.154	L	3398944	3399096
336.25	0.166	R	3398938	3399102
337.084	0.128	L	3399772	3399898
337.078	0.136	R	3399766	3399900
339.244	0.088	R	3401932	3402018
339.24	0.094	L	3401928	3402020
339.786	0.164	L	3402474	3402636
339.78	0.188	R	3402468	3402654
340.372	0.084	R	3403060	3403142
340.368	0.098	L	3403056	3403152
340.96	0.128	L	3403648	3403774
340.962	0.134	R	3403650	3403782
341.724	0.15	L	3404412	3404560
341.72	0.17	R	3404408	3404576
342.454	0.098	L	3405142	3405238
342.454	0.102	R	3405142	3405242
343.208	0.078	R	3405896	3405972
343.208	0.08	L	3405896	3405974
343.842	0.108	L	3406530	3406636
343.838	0.146	R	3406526	3406670
344.862	0.036	L	3407550	3407584
344.862	0.054	R	3407550	3407602
345.364	0.086	L	3408052	3408136
345.354	0.18	R	3408042	3408220
347.116	0.13	L	3409804	3409932
347.112	0.138	R	3409800	3409936
347.574	0.206	L	3410262	3410466
347.578	0.218	R	3410266	3410482
348.186	0.076	L	3410874	3410948
348.18	0.092	R	3410868	3410958
348.592	0.134	L	3411280	3411412
348.584	0.142	R	3411272	3411412
350.34	0.104	R	3413028	3413130
350.328	0.136	L	3413016	3413150
350.986	0.21	R	3413674	3413882
350.98	0.22	L	3413668	3413886
351.722	0.164	L	3414410	3414572
351.722	0.174	R	3414410	3414582
352.37	0.11	L	3415058	3415166
352.368	0.116	R	3415056	3415170
352.958	0.1	R	3415646	3415744
352.956	0.11	L	3415644	3415752
353.688	0.16	L	3416376	3416534
353.686	0.166	R	3416374	3416538
354.486	0.146	L	3417174	3417318
354.478	0.182	R	3417166	3417346
355.096	0.198	L	3417784	3417980
355.094	0.226	R	3417782	3418006
355.99	0.116	L	3418678	3418792
355.99	0.14	R	3418678	3418816
357.436	0.094	R	3420124	3420216
357.422	0.11	L	3420110	3420218
358.724	0.074	L	3421412	3421484
358.726	0.084	R	3421414	3421496
359.34	0.104	L	3422028	3422130
359.344	0.1	R	3422032	3422130
359.824	0.154	L	3422512	3422664
359.822	0.168	R	3422510	3422676
360.616	0.104	L	3423304	3423406
360.614	0.112	R	3423302	3423412
361.146	0.096	L	3423834	3423928
361.146	0.13	R	3423834	3423962
361.83	0.186	L	3424518	3424702
361.834	0.21	R	3424522	3424730
362.484	0.136	L	3425172	3425306
362.482	0.152	R	3425170	3425320
363.2	0.114	R	3425888	3426000
363.198	0.122	L	3425886	3426006
363.874	0.12	L	3426562	3426680
363.878	0.128	R	3426566	3426692
364.42	0.114	R	3427108	3427220
364.414	0.128	L	3427102	3427228
365.754	0.126	L	3428442	3428566
365.738	0.164	R	3428426	3428588
366.446	0.086	L	3429134	3429218
366.436	0.098	R	3429124	3429220
366.998	0.128	L	3429686	3429812
366.992	0.208	R	3429680	3429886
367.478	0.116	R	3430166	3430280
367.484	0.116	L	3430172	3430286
367.978	0.146	L	3430666	3430810
367.98	0.15	R	3430668	3430816
369.798	0.356	L	3432486	3432840
369.788	0.384	R	3432476	3432858
370.952	0.196	R	3433640	3433834
370.962	0.192	L	3433650	3433840
371.704	0.108	L	3434392	3434498
371.692	0.122	R	3434380	3434500
373.41	0.178	L	3436098	3436274
373.408	0.198	R	3436096	3436292
374.146	0.032	L	3436834	3436864
374.14	0.042	R	3436828	3436868
374.682	0.132	L	3437370	3437500
374.674	0.146	R	3437362	3437506
375.48	0.06	L	3438168	3438226
375.47	0.122	R	3438158	3438278
375.954	0.04	L	3438642	3438680
377.74	0.082	L	3440428	3440508
377.74	0.164	R	3440428	3440590
378.244	0.038	R	3440932	3440968
378.254	0.042	L	3440942	3440982
378.698	0.066	L	3441386	3441450
378.684	0.178	R	3441372	3441548
379.156	0.098	L	3441844	3441940
379.15	0.12	R	3441838	3441956
379.754	0.126	R	3442442	3442566
379.758	0.13	L	3442446	3442574
380.278	0.212	R	3442966	3443176
380.278	0.214	L	3442966	3443178
381.174	0.176	L	3443862	3444036
381.178	0.236	R	3443866	3444100
382.508	0.208	L	3445196	3445402
382.5	0.228	R	3445188	3445414
383.246	0.116	R	3445934	3446048
383.248	0.116	L	3445936	3446050
383.822	0.172	R	3446510	3446680
384.078	0.164	R	3446766	3446928
384.382	0.702	R	3447070	3447770
385.432	0.182	L	3448120	3448300
385.422	0.2	R	3448110	3448308
385.874	0.35	L	3448562	3448910
385.87	0.386	R	3448558	3448942
386.568	0.234	L	3449256	3449488
386.564	0.26	R	3449252	3449510
387.372	0.038	L	3450060	3450096
387.676	0.402	L	3450364	3450764
387.688	0.402	R	3450376	3450776
389.932	0.06	R	3452620	3452678
389.912	0.082	L	3452600	3452680
390.914	0.098	L	3453602	3453698
390.906	0.138	R	3453594	3453730
392.576	0.246	L	3455264	3455508
392.576	0.294	R	3455264	3455556
393.372	0.092	R	3456060	3456150
393.38	0.104	L	3456068	3456170
393.962	0.098	R	3456650	3456746
