onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
271.511	0.2	1060779	1061019	BlankScreen	VGS	43	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
271.751	1.0	1061019	1062019	ELCue	VGS	43	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
273.172	6.0	1062440	1068470	ShowFixation	ANTI	44	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
279.202	0.2	1068470	1068709	BlankScreen	ANTI	44	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
279.441	1.0	1068709	1069709	ELCue	ANTI	44	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
280.866	6.0	1070134	1076161	ShowFixation	ANTI	45	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
286.893	0.2	1076161	1076400	BlankScreen	ANTI	45	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
287.132	1.0	1076400	1077400	ELCue	ANTI	45	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
288.557	2.0	1077825	1079852	ShowFixation	ANTI	46	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
290.584	0.2	1079852	1080087	BlankScreen	ANTI	46	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
290.819	1.0	1080087	1081087	ELCue	ANTI	46	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
292.225	6.0	1081493	1087522	ShowFixation	VGS	47	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
298.254	0.2	1087522	1087762	BlankScreen	VGS	47	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
298.494	1.0	1087762	1088762	ELCue	VGS	47	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
299.918	2.0	1089186	1091213	ShowFixation	VGS	48	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
